,user_id,method,tide,lap,falls_num,duration,mean_drift_head,std_drift_head,mean_drift_pelvis,std_drift_pelvis,mean_alpha,std_alpha,mean_beta,std_beta
104,14,Imitation,LowTide,0,0,18.671,0.43683410645843623,0.18451508078569134,0.47658370511934706,0.21208630382113874,2.113511361463658,0.03755777130599984,0.13330101662110502,0.049636442958308595
105,14,Imitation,LowTide,1,0,24.345,0.7145676397260587,0.314550957837755,0.8352013405947344,0.29610024382122324,2.0092812824550834,0.4129514986843354,0.217774037815613,0.08175098795153347
106,14,Imitation,LowTide,2,0,23.298,0.9897688255499284,0.4299248754974453,1.0999857650319953,0.42014179450949624,1.974023239977505,0.270004558514934,0.15009256404831767,0.04556566055642071
107,14,Imitation,LowTide,3,0,26.095,0.9240712378924687,0.42624851134359876,1.001131875213249,0.4135781145501805,1.8850933366393428,0.33848882111161216,0.13117282645746983,0.059948404195795925
108,14,Imitation,HighTide,0,0,15.572,0.3204468256993252,0.18380534586221986,0.2953201932728977,0.1704826293081868,2.464495139486674,0.06284091940288303,0.106276303568034,0.0732416887976724
109,14,Imitation,HighTide,1,0,18.419,0.6656614282475064,0.20196232662912106,0.6748471039259433,0.18202177767787256,2.4218582807155475,0.4053636544615053,0.11472966514789641,0.10649766430508494
110,14,Imitation,HighTide,2,0,18.446,0.42576688080876784,0.24489835309635063,0.4634485696106648,0.2634205022976259,2.444305472497409,0.049555733770982435,0.10165294052562407,0.04501682459809615
111,14,Imitation,HighTide,3,0,23.17,0.6608827583685009,0.396507574093653,0.6776388993794157,0.3884487083358966,2.2771673965118833,0.35849690684069824,0.07335087089054479,0.057571455415778364
112,14,Gamification,LowTide,0,0,28.961,0.21107436100008925,0.1707139452041166,0.21408247791116544,0.15837114982120043,1.659681061866623,0.23341890017184852,0.10062471971704141,0.049923705413428825
113,14,Gamification,LowTide,1,0,36.179,0.30696435880180795,0.11719046703821455,0.3309346822620675,0.10521788775788303,1.3444937896413955,0.2420582291556256,0.08287973728367311,0.07423391479557816
114,14,Gamification,LowTide,2,0,35.168,0.28567886915671964,0.1720757589726741,0.33181626685036436,0.1819491559076732,1.359196077791568,0.3707197435065501,0.10093648206662906,0.07084353274892567
115,14,Gamification,LowTide,3,0,31.392,0.27787087799562094,0.16748150731142897,0.2961380349160045,0.17250489682386796,1.4934930370906137,0.4764128212105394,0.11422109121782265,0.07833278305792404
116,14,Gamification,HighTide,0,2,52.655,0.61429015316155,0.33779478687944636,0.5589695952519425,0.3279122855111779,2.159092115140032,0.3555328675463668,0.15058218356112554,0.08270298378008527
117,14,Gamification,HighTide,1,0,80.371,0.9390585593661549,0.5233480924108563,1.0439187002527681,0.510284285413888,1.7835156212269,0.39778405755938506,0.22503032621484503,0.12738777889486882
118,14,Gamification,HighTide,2,0,42.231,0.7371974516261754,0.2285392872539507,0.8066336313581567,0.24931269888910657,1.55891987395541,0.4885256108188261,0.14007225525453473,0.07638922254543641
119,14,Gamification,HighTide,3,0,32.986,0.17489517200363774,0.1394090369481125,0.18635328747837104,0.15273647370324606,1.3121374336511962,0.30860454619597055,0.08227485718498802,0.05807527545661835
120,15,NoInstructions,LowTide,0,0,17.523,0.5045883596449664,0.2976528520150402,0.5237581854594938,0.299287561120865,2.1088428214099695,0.21284285394816152,0.1547277107274026,0.07830488669480994
121,15,NoInstructions,LowTide,1,0,22.543,1.2213088386357602,0.488006670621444,1.257073518946156,0.4727444695625859,2.141765636997916,0.17975981233385321,0.09294788906905825,0.06083111092218526
122,15,NoInstructions,LowTide,2,0,19.815,1.297752303741649,0.5126458323430514,1.3787258855511262,0.4992334909349643,1.9729072160156789,0.23591881366072556,0.14754149600962416,0.06228477759264141
